customer_id,invoice_id,product_name,category,quantity,unit_price,total_amount,transaction_date,country,city
CUST0238,INV396688,Magazine,Books & Media,2,34885.76,69771.52,2025-08-27 22:46:42,India,Ahmedabad
CUST0009,INV196018,Gaming Console,Books & Media,5,37208.32,186041.6,2026-01-22 22:46:42,India,Jaipur
CUST0036,INV821309,Mixer Grinder,Home & Kitchen,4,41751.86,167007.44,2026-01-12 22:46:42,India,Jaipur
CUST0470,INV367452,Bedding,Home & Kitchen,2,4324.66,8649.32,2025-11-03 22:46:42,India,Chennai
CUST0065,INV165571,Headphones,Books & Media,4,19189.58,76758.32,2025-07-16 22:46:42,India,Hyderabad
CUST0139,INV349333,Rice,Groceries,4,27758.6,111034.4,2025-06-22 22:46:42,India,Surat
CUST0424,INV357796,Jeans,Fashion,1,10714.96,10714.96,2025-09-28 22:46:42,India,Kolkata
CUST0226,INV594601,Coffee,Groceries,5,19137.65,95688.25,2025-08-30 22:46:42,India,Bangalore
CUST0142,INV774063,Handbag,Fashion,1,15567.58,15567.58,2025-06-15 22:46:42,India,Mumbai
CUST0291,INV298574,Kurti,Fashion,3,17759.32,53277.96,2025-08-08 22:46:42,India,Surat
CUST0425,INV168217,TV,Electronics,5,36563.09,182815.44999999998,2025-08-25 22:46:42,India,Jaipur
CUST0226,INV596912,Book,Books & Media,2,43476.64,86953.28,2025-10-13 22:46:42,India,Mumbai
CUST0366,INV988692,Magazine,Books & Media,1,9116.16,9116.16,2025-12-10 22:46:42,India,Chennai
CUST0593,INV936811,Bedding,Home & Kitchen,2,15803.63,31607.26,2026-01-13 22:46:42,India,Chennai
CUST0088,INV156446,Utensils,Home & Kitchen,5,29756.12,148780.6,2025-09-16 22:46:42,India,Pune
CUST0472,INV164297,Saree,Fashion,4,5475.92,21903.68,2026-01-11 22:46:42,India,Hyderabad
CUST0408,INV210742,Furniture,Home & Kitchen,2,24618.26,49236.52,2025-12-03 22:46:42,India,Jaipur
CUST0406,INV803154,Mixer Grinder,Home & Kitchen,4,21698.92,86795.68,2025-10-24 22:46:42,India,Mumbai
CUST0083,INV787558,DVD,Books & Media,5,16374.17,81870.85,2025-11-24 22:46:42,India,Chennai
CUST0167,INV703806,Book,Books & Media,4,4418.67,17674.68,2025-09-26 22:46:42,India,Pune
CUST0240,INV146943,Furniture,Home & Kitchen,4,39258.39,157033.56,2025-04-15 22:46:42,India,Surat
CUST0193,INV598662,Smartwatch,Electronics,4,47468.84,189875.36,2026-04-04 22:46:42,India,Bangalore
CUST0184,INV304100,Coffee,Groceries,5,16293.93,81469.65,2026-03-03 22:46:42,India,Chennai
CUST0314,INV573816,Decor,Home & Kitchen,3,8162.75,24488.25,2025-07-08 22:46:42,India,Delhi
CUST0108,INV976490,Mixer Grinder,Home & Kitchen,1,49539.17,49539.17,2025-10-16 22:46:42,India,Surat
CUST0366,INV935656,Refrigerator,Electronics,4,19203.99,76815.96,2026-03-17 22:46:42,India,Kolkata
CUST0287,INV555416,Book,Books & Media,3,17972.12,53916.36,2025-12-17 22:46:42,India,Pune
CUST0334,INV375033,Pressure Cooker,Home & Kitchen,3,7617.85,22853.550000000003,2026-01-27 22:46:42,India,Delhi
CUST0058,INV502546,Coffee,Groceries,2,45093.13,90186.26,2025-12-14 22:46:42,India,Hyderabad
CUST0272,INV219706,Spices,Groceries,2,7441.49,14882.98,2025-12-27 22:46:42,India,Hyderabad
CUST0391,INV471398,Handbag,Fashion,4,36144.05,144576.2,2025-07-27 22:46:42,India,Pune
CUST0582,INV518440,TV,Electronics,2,31646.99,63293.98,2025-06-24 22:46:42,India,Hyderabad
