customer_id,invoice_id,product_name,category,quantity,unit_price,total_amount,transaction_date,country,city
CUST0778,INV129672,Smartphone,Electronics,2,32585.41,65170.82,2025-04-29 22:46:42,India,Kolkata
CUST0711,INV535532,Refrigerator,Electronics,4,26320.44,105281.76,2025-06-06 22:46:42,India,Kolkata
CUST0789,INV803049,Wheat Flour,Groceries,4,40139.95,160559.8,2025-08-06 22:46:42,India,Surat
CUST0154,INV554247,Tablet,Electronics,5,42636.34,213181.69999999998,2025-12-03 22:46:42,India,Surat
CUST0118,INV476021,Washing Machine,Electronics,4,7875.6,31502.4,2026-04-04 22:46:42,India,Ahmedabad
CUST0081,INV486059,Refrigerator,Electronics,2,40199.09,80398.18,2025-09-07 22:46:42,India,Chennai
CUST0444,INV493359,T-Shirt,Fashion,3,31283.08,93849.24,2025-12-30 22:46:42,India,Mumbai
CUST0374,INV750155,Rice,Groceries,4,1918.64,7674.56,2025-04-24 22:46:42,India,Bangalore
CUST0185,INV788613,Milk Powder,Groceries,3,42185.15,126555.45000000001,2025-07-02 22:46:42,India,Bangalore
CUST0924,INV958285,Kurti,Fashion,5,11055.59,55277.95,2025-12-09 22:46:42,India,Surat
CUST0422,INV382518,Smartphone,Electronics,3,19322.35,57967.049999999996,2025-05-18 22:46:42,India,Pune
CUST0654,INV745444,Gaming Console,Books & Media,4,14440.49,57761.96,2025-04-10 22:46:42,India,Chennai
CUST0735,INV567863,Smartphone,Electronics,1,20300.18,20300.18,2026-03-06 22:46:42,India,Mumbai
CUST0561,INV760504,TV,Electronics,4,4259.61,17038.44,2025-08-14 22:46:42,India,Mumbai
CUST0530,INV914750,Tablet,Electronics,4,35482.06,141928.24,2025-12-27 22:46:42,India,Pune
CUST0165,INV695962,Tablet,Electronics,5,12985.61,64928.05,2026-04-02 22:46:42,India,Chennai
CUST0296,INV258606,Gaming Console,Books & Media,4,34749.03,138996.12,2025-05-14 22:46:42,India,Bangalore
CUST0003,INV596019,Headphones,Books & Media,4,23422.21,93688.84,2025-09-08 22:46:42,India,Ahmedabad
CUST0911,INV950047,T-Shirt,Fashion,3,18112.8,54338.399999999994,2026-02-05 22:46:42,India,Hyderabad
CUST0776,INV565041,Watch,Fashion,3,20633.32,61899.96,2025-05-11 22:46:42,India,Surat
CUST0908,INV943475,DVD,Books & Media,2,49539.52,99079.04,2025-07-16 22:46:42,India,Bangalore
CUST0240,INV419897,Furniture,Home & Kitchen,4,36346.73,145386.92,2025-11-01 22:46:42,India,Surat
CUST0143,INV421987,Book,Books & Media,2,18530.87,37061.74,2025-05-31 22:46:42,India,Bangalore
CUST0822,INV937326,Decor,Home & Kitchen,2,29359.95,58719.9,2026-03-12 22:46:42,India,Surat
CUST0929,INV702105,Rice,Groceries,3,49266.47,147799.41,2026-01-13 22:46:42,India,Jaipur
CUST0981,INV648658,Headphones,Electronics,1,40023.97,40023.97,2025-10-03 22:46:42,India,Mumbai
CUST0699,INV847917,Bedding,Home & Kitchen,1,31261.22,31261.22,2025-08-30 22:46:42,India,Delhi
CUST0923,INV346219,Refrigerator,Electronics,2,16331.58,32663.16,2025-05-10 22:46:42,India,Jaipur
CUST0888,INV785061,Smartwatch,Electronics,3,42811.78,128435.34,2026-02-14 22:46:42,India,Jaipur
CUST0145,INV629014,Saree,Fashion,4,17020.6,68082.4,2026-04-05 22:46:42,India,Kolkata
CUST0455,INV278513,Smartwatch,Electronics,1,7720.37,7720.37,2025-07-21 22:46:42,India,Chennai
CUST0082,INV636132,Milk Powder,Groceries,5,46985.75,234928.75,2025-09-20 22:46:42,India,Surat
CUST0207,INV187247,Laptop,Electronics,2,2171.27,4342.54,2025-09-02 22:46:42,India,Jaipur
CUST0573,INV951570,Tea,Groceries,1,41293.19,41293.19,2026-02-01 22:46:42,India,Hyderabad
CUST0955,INV367050,Washing Machine,Electronics,5,22546.36,112731.8,2025-12-11 22:46:42,India,Chennai
CUST0435,INV226642,Jeans,Fashion,2,25437.49,50874.98,2025-09-29 22:46:42,India,Jaipur
CUST0106,INV240455,Coffee,Groceries,4,49194.09,196776.36,2026-04-08 22:46:42,India,Jaipur
CUST0868,INV658288,Furniture,Home & Kitchen,2,9007.09,18014.18,2025-11-28 22:46:42,India,Delhi
CUST0473,INV954200,Tea,Groceries,2,13853.66,27707.32,2025-06-13 22:46:42,India,Pune
CUST0310,INV936531,Bedding,Home & Kitchen,2,18851.18,37702.36,2025-10-20 22:46:42,India,Delhi
CUST0813,INV975043,Tea,Groceries,4,4422.7,17690.8,2026-02-23 22:46:42,India,Ahmedabad
CUST0459,INV933157,Spices,Groceries,4,9506.18,38024.72,2026-03-30 22:46:42,India,Kolkata
CUST0858,INV639159,Kurti,Fashion,3,31518.54,94555.62,2026-01-03 22:46:42,India,Hyderabad
CUST0555,INV666390,T-Shirt,Fashion,3,15514.35,46543.05,2025-08-16 22:46:42,India,Pune
CUST0086,INV987910,T-Shirt,Fashion,1,38589.86,38589.86,2025-07-12 22:46:42,India,Chennai
CUST0411,INV616058,Tea,Groceries,2,36454.73,72909.46,2026-03-07 22:46:42,India,Pune
CUST0081,INV613072,Mixer Grinder,Home & Kitchen,5,37235.62,186178.1,2025-11-26 22:46:42,India,Mumbai
CUST0424,INV617303,Pressure Cooker,Home & Kitchen,4,44097.41,176389.64,2025-06-17 22:46:42,India,Bangalore
CUST0803,INV579819,Mixer Grinder,Home & Kitchen,3,33069.39,99208.17,2025-06-24 22:46:42,India,Chennai
CUST0740,INV672842,Sugar,Groceries,2,18635.11,37270.22,2026-02-17 22:46:42,India,Surat
CUST0265,INV157926,Headphones,Books & Media,4,39996.17,159984.68,2025-09-17 22:46:42,India,Chennai
CUST0476,INV780181,Watch,Fashion,2,12414.12,24828.24,2025-10-11 22:46:42,India,Ahmedabad
CUST0593,INV644751,Magazine,Books & Media,1,13032.5,13032.5,2025-04-21 22:46:42,India,Chennai
CUST0648,INV864922,Sugar,Groceries,5,8919.22,44596.1,2026-03-21 22:46:42,India,Pune
CUST0152,INV789626,TV,Electronics,2,4083.9,8167.8,2026-02-07 22:46:42,India,Pune
CUST0203,INV986071,Jeans,Fashion,1,20678.25,20678.25,2026-04-02 22:46:42,India,Pune
CUST0690,INV656580,Rice,Groceries,3,31692.58,95077.74,2025-10-22 22:46:42,India,Surat
CUST0838,INV360188,Headphones,Books & Media,1,44601.71,44601.71,2025-10-06 22:46:42,India,Mumbai
CUST0900,INV619334,Mixer Grinder,Home & Kitchen,2,14275.38,28550.76,2026-02-23 22:46:42,India,Hyderabad
CUST0708,INV727377,Washing Machine,Electronics,4,49678.61,198714.44,2026-03-28 22:46:42,India,Delhi
CUST0596,INV168411,Furniture,Home & Kitchen,2,48274.0,96548.0,2025-12-20 22:46:42,India,Ahmedabad
CUST0874,INV549936,Watch,Fashion,1,36565.24,36565.24,2026-03-06 22:46:42,India,Mumbai
CUST0173,INV123763,Smartphone,Electronics,5,33902.5,169512.5,2025-05-21 22:46:42,India,Kolkata
CUST0174,INV718141,Oil,Groceries,3,38845.61,116536.83,2026-03-08 22:46:42,India,Surat
CUST0480,INV741365,Saree,Fashion,3,38825.5,116476.5,2025-07-29 22:46:42,India,Jaipur
CUST0485,INV508582,Refrigerator,Electronics,4,36560.87,146243.48,2025-06-03 22:46:42,India,Jaipur
CUST0260,INV591909,TV,Electronics,5,27742.22,138711.1,2026-02-07 22:46:42,India,Jaipur
CUST0442,INV905264,Refrigerator,Electronics,1,5138.4,5138.4,2026-03-21 22:46:42,India,Hyderabad
CUST0755,INV856689,Kurti,Fashion,2,24705.6,49411.2,2025-04-24 22:46:42,India,Pune
CUST0479,INV433947,Utensils,Home & Kitchen,4,7323.58,29294.32,2025-06-25 22:46:42,India,Jaipur
CUST0019,INV690565,Washing Machine,Electronics,5,48303.93,241519.65,2025-04-10 22:46:42,India,Ahmedabad
CUST0429,INV720499,Shoes,Fashion,1,43612.72,43612.72,2026-01-30 22:46:42,India,Kolkata
CUST0737,INV706011,Refrigerator,Electronics,5,30553.14,152765.7,2026-03-21 22:46:42,India,Bangalore
CUST0969,INV533439,Sugar,Groceries,2,37349.24,74698.48,2025-10-30 22:46:42,India,Surat
CUST0359,INV764494,Magazine,Books & Media,2,36176.21,72352.42,2025-10-11 22:46:42,India,Kolkata
CUST0665,INV859668,Coffee,Groceries,1,18972.15,18972.15,2026-02-04 22:46:42,India,Hyderabad
CUST0727,INV760225,DVD,Books & Media,2,23018.04,46036.08,2025-11-03 22:46:42,India,Surat
CUST0801,INV346305,DVD,Books & Media,1,23693.46,23693.46,2026-02-02 22:46:42,India,Kolkata
CUST0552,INV374733,Watch,Fashion,3,33130.08,99390.24,2025-08-08 22:46:42,India,Pune
CUST0364,INV715266,Bedding,Home & Kitchen,1,48089.27,48089.27,2025-08-25 22:46:42,India,Surat
CUST0489,INV390740,Coffee,Groceries,1,20791.49,20791.49,2025-05-22 22:46:42,India,Ahmedabad
CUST0007,INV107669,Headphones,Books & Media,3,28548.63,85645.89,2025-07-20 22:46:42,India,Kolkata
CUST0977,INV505820,Book,Books & Media,3,33956.05,101868.15000000001,2025-05-26 22:46:42,India,Mumbai
CUST0426,INV151679,Gaming Console,Books & Media,4,25725.39,102901.56,2025-11-20 22:46:42,India,Ahmedabad
CUST0412,INV891562,Jeans,Fashion,5,47796.65,238983.25,2025-04-14 22:46:42,India,Ahmedabad
CUST0323,INV903357,Sugar,Groceries,5,16645.67,83228.34999999999,2026-02-27 22:46:42,India,Delhi
CUST0800,INV375298,Gaming Console,Books & Media,1,36958.81,36958.81,2025-12-16 22:46:42,India,Ahmedabad
CUST0063,INV104838,Wheat Flour,Groceries,3,29668.39,89005.17,2025-12-16 22:46:42,India,Jaipur
CUST0776,INV548593,Rice,Groceries,2,1150.87,2301.74,2025-11-05 22:46:42,India,Kolkata
CUST0764,INV452062,Magazine,Books & Media,1,2259.65,2259.65,2025-07-01 22:46:42,India,Jaipur
CUST0276,INV290138,Spices,Groceries,2,150.73,301.46,2025-07-28 22:46:42,India,Mumbai
CUST0204,INV600872,Bedding,Home & Kitchen,4,44265.45,177061.8,2026-01-30 22:46:42,India,Hyderabad
CUST0525,INV531699,Utensils,Home & Kitchen,1,28784.5,28784.5,2025-04-26 22:46:42,India,Hyderabad
CUST0640,INV389051,Pressure Cooker,Home & Kitchen,3,42341.5,127024.5,2025-10-14 22:46:42,India,Ahmedabad
CUST0991,INV691503,Coffee,Groceries,1,26732.55,26732.55,2026-02-08 22:46:42,India,Pune
CUST0319,INV530842,Kurti,Fashion,3,28794.88,86384.64,2025-06-27 22:46:42,India,Jaipur
CUST0795,INV354190,Saree,Fashion,3,24380.85,73142.54999999999,2026-04-08 22:46:42,India,Pune
CUST0642,INV183116,DVD,Books & Media,3,26910.67,80732.01,2025-05-31 22:46:42,India,Ahmedabad
CUST0488,INV235926,Smartwatch,Electronics,1,1668.03,1668.03,2025-04-22 22:46:42,India,Kolkata
CUST0905,INV574479,Jewelry,Fashion,2,40799.11,81598.22,2025-08-28 22:46:42,India,Jaipur
CUST0229,INV938314,Pressure Cooker,Home & Kitchen,2,36823.9,73647.8,2025-11-14 22:46:42,India,Delhi
CUST0851,INV303836,Furniture,Home & Kitchen,1,48532.02,48532.02,2025-10-28 22:46:42,India,Pune
CUST0751,INV623082,DVD,Books & Media,2,2655.31,5310.62,2025-09-02 22:46:42,India,Ahmedabad
CUST0006,INV787860,Magazine,Books & Media,3,42726.89,128180.67,2026-02-20 22:46:42,India,Jaipur
CUST0303,INV672258,Sugar,Groceries,4,7327.69,29310.76,2025-08-04 22:46:42,India,Mumbai
CUST0276,INV212359,Bedding,Home & Kitchen,3,38142.34,114427.01999999999,2025-10-12 22:46:42,India,Delhi
