customer_id,invoice_id,product_name,quantity,unit_price,total_amount,transaction_date,country
CUST1000,INV599388,Phone,5,920.27,4601.35,2025-09-30 22:46:31,USA
CUST0005,INV119073,Phone,1,199.42,199.42,2025-06-21 22:46:31,USA
CUST0351,INV201974,Phone,2,908.68,1817.36,2025-09-02 22:46:31,UK
CUST0369,INV430543,Phone,4,274.66,1098.64,2025-05-09 22:46:31,France
CUST0786,INV739944,Mouse,5,226.81,1134.05,2025-08-23 22:46:31,USA
CUST0305,INV991653,Keyboard,4,544.57,2178.28,2025-05-25 22:46:31,Canada
CUST0349,INV727432,Mouse,4,57.64,230.56,2025-10-04 22:46:31,Australia
CUST0250,INV310118,Tablet,1,27.85,27.85,2026-03-11 22:46:31,Australia
CUST0527,INV643873,Phone,1,948.46,948.46,2025-09-27 22:46:31,France
CUST0569,INV792458,Laptop,4,725.22,2900.88,2026-01-01 22:46:31,Germany
CUST0540,INV480283,Keyboard,3,62.89,188.67000000000002,2025-12-23 22:46:31,UK
CUST0238,INV866513,Mouse,3,773.05,2319.1499999999996,2026-02-02 22:46:31,Canada
CUST0421,INV673940,Keyboard,4,21.93,87.72,2025-07-03 22:46:31,Canada
CUST0523,INV924096,Tablet,3,165.44,496.32,2026-02-03 22:46:31,Germany
CUST0006,INV336986,Mouse,5,300.63,1503.15,2025-09-16 22:46:31,USA
CUST0719,INV264860,Mouse,4,136.45,545.8,2025-12-07 22:46:31,UK
CUST0370,INV848415,Headphones,3,115.82,347.46,2025-07-04 22:46:31,Canada
CUST0793,INV804509,Laptop,3,930.63,2791.89,2026-02-04 22:46:31,USA
CUST0364,INV306177,Laptop,1,575.24,575.24,2026-03-27 22:46:31,Germany
CUST0581,INV728629,Keyboard,3,375.64,1126.92,2026-01-19 22:46:31,Canada
CUST0884,INV872382,Tablet,2,109.93,219.86,2025-05-31 22:46:31,France
CUST0095,INV838251,Tablet,3,122.48,367.44,2025-05-17 22:46:31,Canada
CUST0168,INV875497,Keyboard,2,164.42,328.84,2025-05-29 22:46:31,Australia
CUST0790,INV566468,Keyboard,2,298.03,596.06,2025-10-02 22:46:31,Germany
CUST0847,INV566842,Mouse,1,433.93,433.93,2025-04-22 22:46:31,USA
CUST0573,INV240277,Headphones,5,45.99,229.95000000000002,2025-10-05 22:46:31,Canada
CUST0112,INV849158,Headphones,1,687.43,687.43,2026-01-24 22:46:31,Germany
CUST0271,INV943952,Keyboard,3,856.18,2568.54,2026-02-01 22:46:31,France
CUST0020,INV583642,Laptop,5,324.0,1620.0,2025-05-03 22:46:31,Germany
CUST0515,INV102047,Tablet,4,488.8,1955.2,2025-10-23 22:46:31,USA
CUST0438,INV308720,Tablet,3,957.92,2873.7599999999998,2025-12-16 22:46:31,UK
CUST0213,INV847612,Headphones,1,842.09,842.09,2026-02-19 22:46:31,UK
CUST0100,INV169183,Tablet,3,455.68,1367.04,2025-06-23 22:46:31,France
CUST0936,INV749060,Keyboard,3,720.08,2160.2400000000002,2025-05-30 22:46:31,Australia
CUST0312,INV705853,Keyboard,2,418.84,837.68,2025-05-10 22:46:31,Canada
CUST0552,INV764231,Headphones,1,804.47,804.47,2026-03-31 22:46:31,Australia
CUST0236,INV125716,Mouse,3,753.85,2261.55,2026-02-27 22:46:31,USA
CUST0538,INV737248,Keyboard,2,334.85,669.7,2025-05-24 22:46:31,USA
CUST0399,INV985025,Headphones,3,872.38,2617.14,2025-08-17 22:46:31,Australia
CUST0809,INV650180,Headphones,4,622.45,2489.8,2025-04-19 22:46:31,France
CUST0969,INV441594,Keyboard,1,916.48,916.48,2025-11-15 22:46:31,Canada
CUST0836,INV345809,Phone,2,169.15,338.3,2025-04-28 22:46:31,USA
CUST0836,INV428389,Keyboard,4,340.2,1360.8,2025-07-05 22:46:31,Canada
CUST0660,INV567438,Keyboard,5,77.38,386.9,2025-11-18 22:46:31,Germany
CUST0973,INV281684,Mouse,2,236.53,473.06,2025-12-27 22:46:31,Australia
CUST0566,INV993995,Tablet,4,933.66,3734.64,2025-07-20 22:46:31,Australia
CUST0256,INV197733,Headphones,1,74.02,74.02,2026-01-27 22:46:31,Australia
CUST0177,INV685817,Tablet,1,834.17,834.17,2025-10-14 22:46:31,UK
CUST0525,INV795403,Mouse,4,705.18,2820.72,2025-08-18 22:46:31,USA
CUST0260,INV833029,Phone,4,504.42,2017.68,2025-05-04 22:46:31,UK
CUST0865,INV771067,Keyboard,1,636.12,636.12,2026-04-01 22:46:31,France
CUST0378,INV951898,Laptop,3,639.87,1919.6100000000001,2025-11-30 22:46:31,USA
CUST0857,INV920167,Phone,5,109.53,547.65,2026-03-26 22:46:31,France
CUST0421,INV257186,Tablet,3,284.92,854.76,2025-05-28 22:46:31,France
CUST0116,INV322106,Phone,2,330.3,660.6,2025-04-17 22:46:31,Australia
CUST0198,INV804497,Headphones,4,955.97,3823.88,2025-10-07 22:46:31,Canada
CUST0292,INV751623,Keyboard,5,186.1,930.5,2026-03-11 22:46:31,Germany
CUST0692,INV719935,Headphones,3,740.53,2221.59,2025-09-13 22:46:31,Australia
CUST0503,INV666594,Laptop,4,381.19,1524.76,2025-05-20 22:46:31,UK
CUST0554,INV555712,Keyboard,3,884.43,2653.29,2025-09-19 22:46:31,USA
CUST0126,INV981532,Headphones,4,555.77,2223.08,2025-09-08 22:46:31,Canada
CUST0447,INV701036,Phone,2,234.0,468.0,2026-02-01 22:46:31,UK
CUST0803,INV838072,Mouse,5,684.75,3423.75,2025-05-27 22:46:31,France
CUST0813,INV648542,Laptop,3,489.69,1469.07,2025-10-21 22:46:31,Australia
CUST0812,INV635665,Headphones,3,129.74,389.22,2026-04-04 22:46:31,UK
CUST0190,INV924231,Mouse,1,241.81,241.81,2025-09-03 22:46:31,France
CUST0255,INV445926,Headphones,3,660.78,1982.34,2025-09-25 22:46:31,Canada
CUST0578,INV527535,Keyboard,1,153.51,153.51,2026-03-08 22:46:31,UK
CUST0880,INV544370,Laptop,1,197.75,197.75,2025-04-10 22:46:31,USA
CUST0730,INV745908,Mouse,5,264.47,1322.3500000000001,2025-04-15 22:46:31,Germany
CUST0893,INV730095,Headphones,1,513.92,513.92,2026-03-05 22:46:31,USA
CUST0113,INV457903,Keyboard,3,604.12,1812.3600000000001,2025-10-02 22:46:31,UK
CUST0986,INV737419,Laptop,1,511.01,511.01,2026-01-16 22:46:31,USA
CUST0352,INV273006,Keyboard,5,349.63,1748.15,2025-07-04 22:46:31,Australia
CUST0535,INV960254,Headphones,4,940.28,3761.12,2025-05-08 22:46:31,Germany
CUST0646,INV569014,Mouse,4,162.37,649.48,2025-10-17 22:46:31,Australia
CUST0051,INV883759,Headphones,4,227.92,911.68,2025-07-09 22:46:31,Australia
CUST0014,INV908345,Headphones,2,449.73,899.46,2025-09-22 22:46:31,UK
CUST0731,INV794570,Keyboard,1,584.94,584.94,2025-05-14 22:46:31,France
CUST0905,INV527897,Laptop,2,914.03,1828.06,2026-03-17 22:46:31,USA
CUST0719,INV457769,Phone,2,134.34,268.68,2025-11-27 22:46:31,Canada
CUST0663,INV768707,Headphones,3,461.9,1385.6999999999998,2026-03-03 22:46:31,Germany
CUST0480,INV112428,Phone,3,738.81,2216.43,2025-10-28 22:46:31,France
CUST0252,INV437902,Keyboard,4,968.93,3875.72,2025-05-18 22:46:31,UK
CUST0610,INV249914,Laptop,5,923.9,4619.5,2025-08-22 22:46:31,USA
CUST0573,INV959016,Mouse,1,981.09,981.09,2026-02-02 22:46:31,USA
CUST0353,INV340533,Keyboard,1,735.57,735.57,2025-09-24 22:46:31,France
CUST0674,INV401739,Headphones,1,271.39,271.39,2025-12-19 22:46:31,Canada
CUST0511,INV761993,Tablet,1,725.87,725.87,2026-02-25 22:46:31,Australia
CUST0117,INV439257,Keyboard,5,151.88,759.4,2025-07-30 22:46:31,Canada
CUST0292,INV238019,Headphones,5,923.62,4618.1,2025-11-09 22:46:31,France
CUST0018,INV622987,Mouse,1,204.8,204.8,2025-08-11 22:46:31,Canada
CUST0226,INV866770,Keyboard,4,30.4,121.6,2026-02-09 22:46:31,France
CUST0802,INV144174,Phone,5,111.03,555.15,2025-08-22 22:46:31,USA
CUST0576,INV105755,Mouse,4,945.38,3781.52,2025-09-08 22:46:31,Canada
CUST0463,INV885560,Tablet,1,719.93,719.93,2026-03-13 22:46:31,France
CUST0257,INV357017,Keyboard,4,458.87,1835.48,2025-08-20 22:46:31,USA
CUST0375,INV850417,Tablet,3,125.46,376.38,2025-09-03 22:46:31,France
CUST0438,INV142188,Phone,4,149.55,598.2,2025-09-07 22:46:31,USA
CUST0316,INV535147,Laptop,4,76.29,305.16,2025-10-11 22:46:31,Germany
CUST0704,INV463941,Tablet,5,78.06,390.3,2025-06-10 22:46:31,Germany
CUST0778,INV527211,Headphones,1,993.39,993.39,2025-09-10 22:46:31,Canada
CUST0956,INV125965,Headphones,2,12.99,25.98,2025-09-14 22:46:31,Australia
CUST0770,INV912765,Phone,4,434.12,1736.48,2026-01-11 22:46:31,USA
CUST0316,INV893542,Keyboard,1,145.35,145.35,2025-09-20 22:46:31,USA
CUST0561,INV551025,Laptop,2,381.4,762.8,2026-02-25 22:46:31,UK
CUST0282,INV652643,Tablet,3,842.14,2526.42,2025-11-23 22:46:31,UK
CUST1000,INV410487,Laptop,5,806.87,4034.35,2025-06-22 22:46:31,Australia
CUST0778,INV109104,Tablet,5,904.78,4523.9,2025-04-27 22:46:31,Germany
CUST0745,INV780675,Phone,1,185.54,185.54,2026-01-14 22:46:31,Canada
CUST0891,INV987382,Mouse,1,462.87,462.87,2025-05-31 22:46:31,Australia
CUST0047,INV211447,Mouse,5,242.36,1211.8000000000002,2026-01-01 22:46:31,USA
CUST0541,INV102440,Tablet,1,65.75,65.75,2026-03-01 22:46:31,Canada
CUST0501,INV682493,Laptop,3,952.4,2857.2,2025-11-14 22:46:31,France
CUST0502,INV116936,Phone,1,490.42,490.42,2025-11-30 22:46:31,France
CUST0141,INV594009,Tablet,1,230.39,230.39,2025-06-03 22:46:31,France
CUST0168,INV570870,Keyboard,5,753.04,3765.2,2025-04-16 22:46:31,USA
CUST0612,INV899464,Mouse,2,316.17,632.34,2025-05-26 22:46:31,UK
CUST0966,INV190473,Mouse,5,935.34,4676.7,2025-08-20 22:46:31,USA
CUST0823,INV743454,Keyboard,4,224.54,898.16,2026-02-18 22:46:31,USA
CUST0535,INV231044,Laptop,4,944.83,3779.32,2026-02-25 22:46:31,Canada
CUST0631,INV536185,Phone,3,153.44,460.32,2025-11-25 22:46:31,Canada
CUST0687,INV115207,Mouse,2,169.13,338.26,2025-10-25 22:46:31,Canada
CUST0097,INV681455,Phone,1,81.23,81.23,2025-10-25 22:46:31,Canada
CUST0885,INV106788,Keyboard,3,338.78,1016.3399999999999,2026-03-17 22:46:31,Germany
CUST0731,INV398682,Tablet,3,595.83,1787.4900000000002,2025-06-17 22:46:31,Germany
CUST0207,INV846274,Laptop,5,366.07,1830.35,2025-10-25 22:46:31,Canada
CUST0978,INV371973,Phone,4,757.76,3031.04,2025-07-11 22:46:31,France
CUST0592,INV115156,Keyboard,1,305.93,305.93,2025-04-08 22:46:31,Australia
CUST0857,INV781287,Keyboard,1,167.71,167.71,2025-05-14 22:46:31,Canada
CUST0358,INV462971,Keyboard,4,16.13,64.52,2026-01-17 22:46:31,UK
CUST0614,INV829633,Phone,3,903.54,2710.62,2026-04-03 22:46:31,Canada
CUST0791,INV284592,Laptop,5,544.21,2721.05,2025-12-01 22:46:31,France
CUST0931,INV530143,Tablet,3,958.57,2875.71,2025-10-16 22:46:31,France
CUST0923,INV900370,Phone,3,300.94,902.8199999999999,2025-08-13 22:46:31,Germany
CUST0120,INV832668,Keyboard,5,938.36,4691.8,2025-08-20 22:46:31,Australia
CUST0435,INV764644,Phone,3,365.91,1097.73,2025-06-08 22:46:31,Germany
CUST0402,INV987996,Tablet,4,288.53,1154.12,2025-09-11 22:46:31,France
CUST0584,INV662996,Phone,4,868.51,3474.04,2025-06-15 22:46:31,Canada
CUST0879,INV411900,Mouse,5,862.93,4314.65,2025-06-09 22:46:31,Australia
CUST0161,INV161273,Mouse,3,490.22,1470.66,2025-07-19 22:46:31,Canada
CUST0521,INV303846,Keyboard,3,614.33,1842.9900000000002,2026-04-07 22:46:31,Canada
CUST0528,INV443183,Tablet,1,345.81,345.81,2026-01-22 22:46:31,UK
CUST0097,INV551375,Mouse,3,130.53,391.59000000000003,2026-01-18 22:46:31,Canada
CUST0853,INV673209,Laptop,4,938.13,3752.52,2025-11-21 22:46:31,USA
CUST0424,INV670287,Mouse,1,447.75,447.75,2025-04-23 22:46:31,Australia
CUST0993,INV130522,Laptop,2,788.35,1576.7,2026-02-16 22:46:31,Australia
CUST0097,INV224893,Tablet,1,669.44,669.44,2025-07-16 22:46:31,UK
CUST0417,INV973364,Laptop,5,101.57,507.84999999999997,2025-08-31 22:46:31,Germany
CUST0394,INV549522,Keyboard,1,546.69,546.69,2025-12-24 22:46:31,France
CUST0244,INV966529,Keyboard,3,208.03,624.09,2025-07-06 22:46:31,USA
CUST0373,INV560721,Phone,3,377.5,1132.5,2025-08-21 22:46:31,UK
CUST0915,INV631005,Keyboard,5,621.64,3108.2,2025-09-04 22:46:31,Canada
CUST0023,INV187969,Headphones,1,955.55,955.55,2025-10-05 22:46:31,UK
CUST0409,INV893431,Laptop,3,165.31,495.93,2025-08-06 22:46:31,USA
CUST0634,INV470495,Phone,1,554.67,554.67,2025-05-11 22:46:31,France
CUST0145,INV132911,Keyboard,2,889.93,1779.86,2025-05-22 22:46:31,France
CUST0020,INV904767,Mouse,5,738.19,3690.9500000000003,2025-12-02 22:46:31,Australia
CUST0631,INV702937,Phone,1,83.59,83.59,2026-01-03 22:46:31,Germany
CUST0020,INV881870,Mouse,3,685.05,2055.1499999999996,2025-12-11 22:46:31,Germany
CUST0459,INV773366,Headphones,5,565.95,2829.75,2026-01-25 22:46:31,Australia
CUST0814,INV684731,Keyboard,1,542.53,542.53,2025-05-11 22:46:31,UK
CUST0902,INV316035,Laptop,5,783.48,3917.4,2026-01-22 22:46:31,Germany
CUST0453,INV337915,Headphones,2,412.26,824.52,2025-08-09 22:46:31,Canada
CUST0663,INV805030,Mouse,3,730.29,2190.87,2025-05-01 22:46:31,Germany
CUST0435,INV233201,Headphones,5,758.33,3791.65,2026-02-21 22:46:31,Germany
CUST0355,INV548131,Mouse,2,999.24,1998.48,2025-09-24 22:46:31,France
CUST0270,INV642884,Headphones,1,697.49,697.49,2025-12-12 22:46:31,UK
CUST0677,INV656303,Laptop,4,819.08,3276.32,2026-04-04 22:46:31,UK
CUST0984,INV915432,Phone,4,602.19,2408.76,2025-12-27 22:46:31,USA
CUST0261,INV144584,Phone,1,489.46,489.46,2025-04-26 22:46:31,Canada
CUST0667,INV932575,Mouse,5,22.02,110.1,2026-03-23 22:46:31,Canada
CUST0406,INV222069,Tablet,4,144.35,577.4,2025-06-20 22:46:31,UK
CUST0683,INV776938,Tablet,5,552.67,2763.35,2026-02-05 22:46:31,USA
CUST0567,INV383832,Tablet,5,196.27,981.35,2026-02-13 22:46:31,Germany
CUST0861,INV176612,Mouse,4,872.96,3491.84,2025-05-29 22:46:31,France
CUST0031,INV532761,Mouse,1,866.59,866.59,2026-01-23 22:46:31,USA
CUST0925,INV136878,Phone,4,857.68,3430.72,2025-12-21 22:46:31,France
CUST0902,INV248645,Headphones,2,681.09,1362.18,2025-10-21 22:46:31,France
CUST0515,INV597667,Laptop,3,247.74,743.22,2025-09-01 22:46:31,USA
CUST0978,INV872819,Tablet,2,526.75,1053.5,2025-07-28 22:46:31,UK
CUST0068,INV419676,Mouse,4,938.26,3753.04,2026-01-14 22:46:31,Canada
CUST0704,INV972673,Phone,2,539.75,1079.5,2025-07-27 22:46:31,Germany
CUST0529,INV653290,Keyboard,4,101.99,407.96,2025-04-26 22:46:31,Germany
CUST0202,INV121053,Tablet,2,913.89,1827.78,2026-01-04 22:46:31,Canada
CUST0874,INV636419,Headphones,4,46.61,186.44,2025-11-20 22:46:31,USA
CUST0157,INV794096,Laptop,1,977.57,977.57,2025-06-21 22:46:31,Germany
CUST0037,INV131704,Phone,4,824.4,3297.6,2025-04-12 22:46:31,UK
CUST0147,INV817710,Headphones,3,741.96,2225.88,2025-09-25 22:46:31,Germany
CUST0239,INV954812,Phone,3,510.71,1532.1299999999999,2025-06-04 22:46:31,Germany
CUST0727,INV750004,Phone,3,575.37,1726.1100000000001,2026-03-05 22:46:31,France
CUST0468,INV698477,Keyboard,5,717.6,3588.0,2025-07-15 22:46:31,USA
CUST0881,INV614597,Phone,1,98.44,98.44,2025-11-16 22:46:31,Australia
CUST0639,INV132345,Phone,4,505.27,2021.08,2026-03-18 22:46:31,USA
